0.04	10	17790	89.23870000000001	1.7328008262070866
0.04	13	7990	50.62100000000001	1.6120193601025066
0.04	16	3820	28.928099999999993	1.4383319112367992
0.04	19	3340	29.505600000000005	1.5410493604078082
0.04	22	3160	31.894399999999997	1.496194519560379
0.08	10	19250	94.70630000000001	1.583131152608124
0.08	13	5600	35.1558	1.581779988081964
0.08	16	1830	13.8492	1.3262172452952634
0.08	19	1730	15.290400000000002	1.4730174028453837
0.08	22	1410	14.228	1.5702142964735741
0.12	10	18180	203.08970000000002	1.7944319950607013
0.12	13	4380	29.3259	1.5487097757757042
0.12	16	1100	8.3931	1.4693920925334807
0.12	19	1120	9.926	1.5129279930439383
0.12	22	990	10.0263	1.5287176633806274
0.16	10	16340	80.41080000000001	1.7444015503684849
0.16	13	1930	12.0279	1.568018813504466
0.16	16	1210	9.365499999999999	1.4278270588150295
0.16	19	850	7.5772	1.467634864575552
0.16	22	720	7.312900000000001	1.5559110579646611
0.2	10	13320	66.5968	1.704946618143427
0.2	13	1810	11.195599999999999	1.466446285132942
0.2	16	1020	7.6754999999999995	1.5255434209325327
0.2	19	1020	9.049800000000001	1.483871907137676
0.2	22	630	6.438900000000001	1.4597199333249757
